claim_id,statement,category,status,reviewer
C01,空间中每一点作光速螺旋运动 R(θ)=(ρcosθ、ρsinθ、bθ) 且 ω√(ρ²+b²)=c,几何定义,pass,算法联盟
C02,曲率 κ=ρ/(ρ²+b²) 挠率 τ=b/(ρ²+b²) 总尺度 ℓ=1/√(κ²+τ²),几何推导,pass,算法联盟
C03,精细结构常数 α=τ/κ=tanθ,几何参数化,pass,算法联盟
C04,N=137 可由拓扑绕数/Dirac谱流/量子相位闭合第一性推出,拓扑本源,open,算法联盟
C05,α=sin(1/(137+Δ_top)) 且 Δ_top=(1/4π²)(χ/(2-2g)),拓扑公式,open,算法联盟
C06,四力强度因子为 1/α²、1/α、1、α 且归一化和=1,归一化约定,boundary,算法联盟
C07,引力在几何归一化中占 99.27% 为最强力,归一化计算,pass,算法联盟
C08,阴阳：阴=cos²θ 阳=sin²θ 且 cos²θ+sin²θ=1,恒等+诠释,pass,算法联盟
C09,质量 m=ℏ/(cρ_C) 由 mcρ_C=ℏ 相位闭合给出,量子闭合,boundary,算法联盟
C10,能量 E=mc²=ℏω=ℏc/ℓ 动量 p=ℏ/ℓ,几何+量子,pass,算法联盟
C11,电荷 e²=4πε₀ℏc·α 且 ε₀μ₀=1/c²,单位制恒等式,pass,算法联盟
C12,G=α²μ₀c²ρ² 给出 G 的几何化,常数重排,falsified,算法联盟
C13,G=c³/[ℏ(κ_G²+τ_G²)] 待拓扑确定,几何表达式,open,算法联盟
C14,频率 ω=c(κ²+τ²)/κ 频率越低引力效应越大,几何推导,boundary,算法联盟
C15,第五力 F₅=(ℏ/2)dω/dt 对应暗能量,唯象构造,open,算法联盟
C16,高阶力 F_n=αⁿ/N 命名暗能量/暗物质/量子涨落,数学项命名,open,算法联盟
C17,道法术器用五层元框架组织 1-7 体系,组织框架,pass,算法联盟
C18,引力归一化最强但表观最弱 悖论由 归一化强度×耦合因子 统一,物理重述,pass,算法联盟
C19,N=1/[α²(1-α)]≈18916.9 为宇宙归一化因子,数值定义,boundary,算法联盟
C20,18917 是第 2153 个素数且 2153 也是素数,数学事实,pass,算法联盟
C21,归一化因子 N 两定义（A≈18916.9 与 B≈18907）并存,内部冲突,falsified,算法联盟
C22,ρ（螺旋半径）可由纯几何或量子第一性预测,第一性锚点,open,算法联盟
C23,拓扑绕数推导 tanθ=√N 与主体 α=tanθ=1/137 数值一致,一致性检查,falsified,算法联盟
C24,【冲突】修复版公理1 的基底 R(t)=(Acosωt·Asinωt·ct) 与本体「光速螺旋运动」不相容：该式切向速率 sqrt(A²ω²+c²) 恒大于 c；为使 §2 的 α 公式命中观测需 ωA=c/2.0068118 ⇒ |v|=1.117276 c（超光速 11.7276%）,第一性审计,falsified,算法联盟审计组
C25,【冲突】α 新公式 α=(1/(2√N))(c/(ωA)) 是两个未知量对一个方程：读数B 下唯一约束为 N≥4694.7163且读数A 下连该约束亦无；实测 N 取 4695 至 1e9 四个量级全部精确命中 α ⇒ 对 N 无选择力且不可证伪；判别式 V=(1−2−1)/1=−2 ≤ 0 判为伪派生,第一性审计,falsified,算法联盟审计组
C26,【冲突】修复版未消除 tanθ 矛盾而是把它扩为四方：要求 tanθ 同时等于 α=0.00729735（原主体 C03）· √N=137.503（原拓扑绕数 C23）· 2√Nα=2.00681 或 √((2√Nα)²−1)=1.73991（修复版两读数）；实现方式是新公式不再使用 α=τ/κ ⇒ 冲突的一侧被删除而非被调和,第一性审计,falsified,算法联盟审计组
C27,【冲突】N=floor(2π/Δθ_min) 只能产出整数 ⇒ 原定义 A 的 1/[α²(1−α)]=18916.90839 不可能由新定义导出；「彻底消除双值冲突」实为抛弃其中一个值,第一性审计,falsified,算法联盟审计组
C28,【欠定】Δθ_min 无第一性来源：要复现 N=18907 需 Δθ_min=0.0003323205853 rad 且文中未给出任何推导或约束方程 ⇒ 自由度由 N 平移为 Δθ_min 总数不降,第一性审计,open,算法联盟审计组
C29,【冲突】G=c⁴α²/(8πK₀) 量纲失败：反解要求 [K₀]=[G]/[c⁴]=L·M·T⁻²（牛顿·力）而非曲率 L⁻¹；反解值 K₀=2.5642944e+38 N 无任何已知物理量在该量级独立存在,第一性审计,falsified,算法联盟审计组
C30,【循环】G 式与被判 falsified 的 C12 同构：原式 ρ=sqrt(G/(α²μ₀c²)) 由 G 反推；新式 K₀=α²c⁴/(8πG) 同样由 G 反推 ⇒ 循环依赖只是把 ρ 换壳为 K₀ 故 C12 的 falsified 标记不可撤销,第一性审计,falsified,算法联盟审计组
C31,【不可行】「K₀ 可由 N 与 α 直接推导」违反 Buckingham Π 定理：N 与 α 均无量纲 ⇒ 任何无量纲量的函数仍无量纲 不可能产出有量纲的 K₀ 更不可能产出 G,第一性审计,falsified,算法联盟审计组
C32,【冲突】ρ=(1/V)∮S·dl 要求 [S]=M·L⁻¹（质量每长度）而这不是任何标准通量的量纲；且通量的自然积分域是面积 dA 而非线元 dl；另修复后 10 个子系统中无任何方程消费 ρ ⇒ 该量为孤儿量,第一性审计,falsified,算法联盟审计组
C33,【冲突】∇×B=(1/c²)∂E/∂t+α²K(R) 的第二项量纲失败：[α²K]=[L^-1] 而方程其余各项为 [L^-1 M^1 T^-2 I^-1] ⇒ 差因子 [M^1 T^-2 I^-1] 非无量纲；若改令 K 具 [∇×B] 量纲则 K 不再是曲率,第一性审计,falsified,算法联盟审计组
C34,【冲突】该式缺传导电流项 μ₀J：稳恒情形要求 α²∫K·dA=μ₀I_enclosed 对一切电流分布成立 ⇒ K 被规定为电流的泛函 与「K 为时空曲率」冲突；取散度还迫使 ∇·J=(α²/μ₀)∇·K 这一未被声明的约束,第一性审计,falsified,算法联盟审计组
C35,【冲突】F_grav=−Gm₁m₂/r²·∇Φ/Φ₀ 为二分：设 Φ∝r^n 则 ∇Φ/Φ₀∝r^(n−1) 力律为 r^(n−3) 恢复牛顿 r^−2 唯一要求 n=1 此时因子退化为常数可吸收进 G（零内容）；n≠1 则不再是 1/r² 与行星闭合轨道冲突（Bertrand 定理）,第一性审计,falsified,算法联盟审计组
C36,【冲突】同一式中 ∇Φ/Φ₀ 需无量纲 ⇒ [Φ₀] 必须等于 [∇Φ]=[Φ]/L 而非 [Φ]；记号 Φ₀ 作为 Φ 的取值与这一要求冲突 除非另行声明 Φ 为无量纲相位,第一性审计,falsified,算法联盟审计组
C37,【面板】申报 H6/O6/C3/U2 合计 17 与其自列 10 个子系统不符；且较基线 C 由 1→3·U 由 0→2 均为上升 却宣称「全部原 falsified 缺陷清零」；全文未登记任何无量纲靶的预测值与误差棒 ⇒ UFT-3 计数仍为 0,第一性审计,falsified,算法联盟审计组
